name,surname,dob
Frank,Everix,02/12/1961
Enrika,Kibble,30/09/1928
Lettie,Mabson,30/01/1961
Rhetta,Philippon,28/11/1933
Gill,Mattisssen,04/02/1965
Warren,Dudenie,04/04/1996
Emera,Rydeard,15/09/1993
Berti,Shillam,02/02/1947
Jerri,Alcide,23/12/2011
Dun,Brownsword,25/02/2007
Kristin,Defont,30/09/1985
Eryn,Leverett,27/07/1904
Nomi,Trussell,29/08/1912
Myrtia,Giller,18/01/2000
May,Manass,24/08/1971
Beth,Fieller,23/02/1920
Chadwick,Symson,25/01/1947
Tedra,Marieton,17/11/1998
Odell,Fowley,19/10/1931
Lesya,Tolemache,20/03/1983
Haven,Stollmeyer,26/03/1944
Nissie,Sapsforde,06/02/1981
Hillier,Wahlberg,16/05/2017
Elvis,Adamek,04/01/1987
Rosene,Punshon,02/10/1924
Maisey,Beck,10/02/1965
Kay,Layborn,27/05/1960
Kingsley,Moorrud,26/02/2003
Filberto,Briscow,29/07/1926
Alphard,Allot,28/08/1904
Blakeley,Muslim,16/08/1948
El,Benedicte,17/01/1999
Ermin,Vanyarkin,06/04/1945
Enrica,Blanchard,30/11/2015
Jo-ann,Gilson,09/04/1916
Clement,Calvey,03/02/1993
Pollyanna,Whiteway,17/01/1939
Skelly,Gregr,08/01/1977
Melly,Medcalf,24/02/1968
Chiquia,McCloud,06/03/1900
Morlee,Iannetti,01/04/2004
Lou,Hewertson,03/11/1980
Wait,Gaul,02/04/1955
Eirena,Waeland,02/07/1983
Karola,Menis,08/06/1941
Pamela,Rosenauer,06/02/1916
Karita,Dragon,21/10/1919
Torrie,Lorenzetti,02/08/2011
Elmo,Ciciari,08/02/1934
Adelice,Wimp,13/09/1936
Nial,Zimmer,22/03/1959
Demott,Franceschino,02/02/1912
Lucian,Wellen,28/10/1915
Belia,Cridland,03/12/1947
Virgie,Perrycost,07/09/1974
Grantley,Stanley,05/11/1970
Yorker,Binding,06/03/2010
Poppy,Anan,01/12/1949
Margy,Thick,12/12/2013
Clair,Wardel,19/12/1925
Lenard,Giametti,03/09/1907
Joanna,Dowsing,25/01/1950
Myrwyn,Ballinghall,08/08/2011
Brandy,Pinn,27/05/1945
Giacopo,Gillbanks,28/09/1908
Sholom,Kohn,12/04/1902
Frederich,MacCahee,10/07/2018
Issie,Emanuelov,02/09/2019
Cassie,Do Rosario,07/05/1949
Madalyn,MacMychem,06/02/1978
Ricardo,Raysdale,21/06/2007
Stevie,Ogden,07/04/1990
Colline,Perocci,28/01/1924
Mortimer,Heberden,13/04/1954
Riane,Gilman,02/10/1925
Mathilda,Locke,18/08/1958
Vladamir,Habergham,20/09/1966
Felicia,Foale,26/11/1983
Manon,Gauden,03/08/1911
Xylina,Radke,06/08/1947
Moses,Ellicock,25/04/1985
Gunner,Hyam,07/09/1999
Aleksandr,Skerme,28/05/1925
Galvan,Myott,19/10/1935
Fancie,Dilks,05/06/1919
Vonnie,Tomczynski,22/10/1908
Brady,Forestel,07/03/1977
Sonia,Clericoates,29/10/1916
Beverley,Lodewick,14/03/1939
Allie,Dadds,16/10/1965
Perice,Farnish,20/08/2017
Aurelea,Clamo,26/06/1916
Axe,Asplen,30/06/1922
James,Donat,07/11/1987
Louis,Linke,28/02/1918
Armand,Mogie,20/12/1962
Vincenty,McGonigal,24/01/2017
Arlinda,Bucksey,01/04/1989
Cathee,Readhead,12/01/2017
Hewitt,Northage,28/04/1983
Creigh,Lambin,10/04/1920
Noby,Soldan,08/04/1980
Inigo,Vauter,04/02/1906
Martino,Scotchmer,10/08/1926
Teodorico,Tarr,06/03/1996
Biddie,Pessel,20/12/2010
Caron,Goretti,27/03/1924
Shelbi,Chaimson,14/02/2006
Gipsy,Vian,13/12/1914
Fulvia,Emerine,30/05/1908
Kerry,Judson,19/12/1946
Franny,Hearmon,25/09/1903
Fara,Dufer,15/08/2001
Vlad,Dandison,06/12/1949
Edlin,De Haven,22/04/1966
Hilarius,Strivens,18/09/1976
Alyson,Duddan,22/04/1960
Karolina,Proom,08/02/1932
Katina,McSkeagan,04/10/1943
Efren,Murrhaupt,10/01/1914
Benita,Dutnell,29/03/1916
Rana,Ayre,26/02/1950
Mariam,Grigoryev,15/03/1994
Shell,Culvey,01/01/1923
Joela,Dorro,16/07/1922
Marnie,Blaydon,05/01/1984
Kattie,Suttling,13/03/1975
Leena,Collecott,30/03/1911
Nari,Steanyng,12/08/1941
Godiva,Towsey,15/06/2007
Jacinda,Braddock,17/01/1996
Gertrude,Cowland,10/04/1922
Ardath,Dowsing,07/06/1913
Marlena,Busch,17/12/1998
Leyla,Ockland,23/04/1962
Roslyn,Lindenstrauss,15/01/1914
Gleda,Cleife,20/08/1994
Jeniffer,Fish,05/01/1990
Mercy,Impy,13/01/1938
Reba,Retter,11/03/2015
Barbi,Lakeland,15/03/1940
Deck,McKeveney,21/11/1942
Urbanus,Grodden,15/08/1976
Donetta,Holme,08/03/1960
Biddy,Sly,04/07/1943
Kayle,Lefley,20/06/1997
Evvy,Ranfield,12/12/1934
Fax,Grantham,14/01/1955
Maynord,Di Ruggiero,11/05/2007
Frederico,Poone,24/05/1915
Richart,Lowre,19/03/1922
Verile,Bliben,16/10/2016
Fionnula,Tamplin,22/01/1956
Fred,Busch,24/12/1922
Tommie,Ragborne,28/08/1946
Irvine,Adcocks,27/07/1960
Theobald,Olczyk,17/07/1981
Alford,Messier,10/10/1922
Debra,Norcross,14/07/1923
Eudora,Riddel,18/12/1996
Lelah,Macquire,12/05/1943
Laurence,Minchella,16/01/1917
Jock,Gorham,26/03/2017
Madlin,Penlington,08/11/1987
Elmer,Perford,15/11/1961
Nevil,Kettlestringe,19/08/2005
Arte,Lalevee,27/04/1976
Clarice,Trusse,29/02/2020
Dunc,Gladdor,07/06/1950
Earl,Hillborne,15/02/1920
Dallas,Alessandrucci,06/01/2013
Aldrich,Pauli,26/11/1950
Donetta,Fitzsimons,10/05/2009
Pieter,Tee,17/03/1969
Josepha,Crome,08/04/1911
Sibel,Lathan,21/12/1984
Gail,Coldwell,17/07/1914
Bill,Celloni,24/07/2017
Susann,Borleace,05/01/1916
Willette,Greenwell,24/02/1937
Stanwood,Duffy,29/11/1939
Mindy,Stedell,08/05/2020
Faydra,Legrand,10/12/1901
Claudianus,Fleote,28/02/1933
Ramona,Michin,31/07/1996
Archy,Espinola,26/07/2002
Therese,McPaik,19/07/1925
Marlowe,Habert,03/01/1921
Suzanne,Amos,06/04/1976
Rowan,Copperwaite,26/07/1998
Guenevere,McGilvray,16/11/1925
Marjy,Sturror,18/03/2010
Olympie,Winslow,16/06/1975
Fredia,McMeekin,09/05/1937
Abbot,Rowdell,30/12/1980
Frances,Hendrichs,10/08/1964
Dennis,Blinde,15/11/1958
Veda,Dinning,20/05/1964
Dew,Mithun,09/06/1929
Maye,MacGillicuddy,31/08/1914
Mufinella,Kroger,09/12/2002
Audrie,Littrell,20/12/1947
Tiphany,Pecey,09/07/1945
Emmerich,Lyfield,16/10/1978
Goldarina,Reagan,12/11/1948
Meggy,Crookston,14/07/1908
Mackenzie,Norfolk,16/12/1956
Grayce,Orsay,04/01/1997
Bay,Ding,21/10/2013
Kala,Heining,17/01/1951
Katya,Gleave,11/05/1939
Jillie,Rosendale,05/12/1979
Keane,Rahlof,23/04/1982
Meade,Chritchley,14/02/1992
Rourke,Teggart,30/03/2011
Modestia,Duckinfield,20/08/1945
Fan,Pieterick,03/09/1967
Sheila,McColl,09/04/2003
Klaus,Youhill,09/08/1990
Harriette,Lambricht,16/01/1945
Kaja,Pinxton,18/10/2012
Henderson,Mackelworth,13/07/1959
Thea,McGahey,28/07/1949
Pat,Leake,04/05/1949
Kain,Duligal,17/07/2017
Reeva,Tadlow,05/05/1919
Gamaliel,Laweles,08/05/1931
Delinda,Mullinder,24/05/1989
Robinson,Astbury,09/08/1900
Felix,Brooks,17/03/2007
Gregg,Gilliland,05/04/1929
Artemus,Tregaskis,03/07/1956
Vitoria,Newtown,28/06/1992
Beitris,MacVanamy,31/10/1970
Nara,Reihill,19/01/1980
Leslie,Plevey,21/10/2000
Yanaton,Fogarty,28/10/2004
Kaiser,Blackhall,18/11/1929
Rochell,Worgan,14/02/1960
Odo,Wakeman,29/05/2000
Clem,Souley,23/04/1938
Rorke,MacQueen,04/01/2017
Odie,Wetherald,13/10/1997
Cosmo,Leeson,19/05/1959
Ezechiel,MacAlaster,27/09/1929
Stephenie,Szymon,29/11/1959
Raven,Elies,22/11/2003
Rem,Malarkey,02/07/1969
Wally,Mossdale,12/01/1973
Callida,Brute,05/05/1932
Gwenora,Lynock,26/09/1929
Raine,Pool,28/09/2010
Robinetta,Pentercost,06/01/1967
Alphonso,Mucci,11/09/1959
Winni,Deackes,11/04/1941
Maximilien,Teggart,03/01/1949
Conan,McGucken,29/01/1947
Hendrik,Balke,27/04/1986
Demetris,Lages,24/02/2013
Janey,Goodram,15/02/2010
Lanae,Al Hirsi,25/07/2015
Ros,Thexton,19/01/1921
Jenna,Swales,10/02/2005
Kore,Daleman,29/03/1967
Avie,Isabell,22/06/1946
Tracey,Rown,28/07/1939
Sax,Hamberston,01/08/1935
Chrystel,Sellers,09/09/1963
Myrtia,May,19/11/1920
Cristal,MacCauley,06/07/1971
Ev,Palluschek,08/04/2015
Borden,Brito,04/05/1953
Rosalie,Kohring,19/08/1908
Roberto,Duff,23/07/2005
Taylor,McClinton,27/04/1948
Brady,Lathan,29/04/1912
Udall,Kenningham,24/09/1989
Janet,Frift,11/03/1966
Becka,Hardes,11/10/1978
Gabriello,Harnell,25/02/1911
Juliana,Blakiston,08/03/1962
May,Paulton,04/04/2015
Ruby,Gontier,26/10/1948
Brose,Frossell,15/01/1931
Alecia,Kersley,26/06/1901
Atlante,Chasmar,18/10/1994
Kamilah,Acres,03/10/1955
Chan,Blumer,23/07/1961
Gwendolin,Coombs,28/11/1999
Hinda,Rolston,10/01/1930
Brock,Brewett,14/11/1960
Willa,Cockrill,13/03/2006
Kyle,Human,20/01/1976
Nelson,Gavigan,01/02/1939
Granville,McCuthais,20/12/1930
Debora,Sherwell,22/03/2012
Avigdor,Meardon,30/01/1916
Ignacio,Jacquemard,27/12/1971
Cheryl,Ciccetti,18/08/1920
Kyle,Exell,30/09/1976
Karoly,Wynch,30/01/1937
Stu,Heinsius,08/07/1927
Corny,Itzakovitz,19/09/2015
Karylin,Bleazard,16/04/1988
Brandy,Andreutti,22/07/2007
Broderick,Dakin,17/09/1977
Courtney,Baylie,26/02/2011
Elwood,Fairbridge,17/12/1973
Hyacinthie,Rawlcliffe,05/06/1998
Man,Fitchew,17/09/1950
Bernardina,Cane,13/01/1938
Amby,Covington,26/10/1955
Rosmunda,Clinch,12/05/2007
Ebenezer,Barroux,10/06/1945
Inez,Cookes,18/07/1936
Irita,Boobyer,26/03/1921
Anita,Duckett,07/01/1955
Derrik,Blaymires,04/02/1962
Berny,Gainsbury,29/11/1950
Perla,Tanslie,04/03/1908
Dora,Antonias,28/04/2017
Zebadiah,Jostan,01/06/1969
Cullie,Gogay,03/09/1997
Selene,Brisland,20/04/1923
Buckie,Cristofol,24/02/1904
Kristel,Cellier,27/04/2012
Quincey,Colton,21/08/1921
Gusti,Carabet,27/06/1992
Carlina,Crippin,06/04/1908
Lenka,Stoyles,22/04/1939
Michale,Bahde,27/03/1930
Nan,Feldhammer,26/07/2015
Melosa,Wedge,14/04/2011
Teresa,Accum,30/06/1925
Theodosia,O'Dyvoy,20/09/2002
Sada,Puleque,20/11/1911
Paton,Orta,21/01/1927
Carter,Vescovo,14/11/1915
Jillane,Thornton,21/11/1964
Land,Breen,08/04/1921
Sher,Spong,14/01/1979
Dahlia,Hush,28/01/1962
Maurene,Domeny,10/02/1963
Valencia,Lowery,28/06/2010
Celia,Verdon,15/12/2007
Ricard,Pulster,23/11/2016
Nyssa,Wix,16/07/1916
Guinevere,Strathern,24/11/1984
Romola,Crake,23/10/2017
Reuben,Polland,28/12/1916
Ado,Rayner,07/12/1913
Ibbie,Dew,22/06/1969
Iver,Hendrichs,05/10/2014
Selinda,Winear,18/01/1905
Barbie,Keir,20/12/2009
Quinn,Burdass,26/09/1952
Wesley,Allward,16/02/1942
Tyler,Traill,06/07/1943
Netti,Peepall,13/04/1923
Cob,Bantock,16/02/2021
Dorolice,Stienham,02/12/1997
Jareb,Collabine,30/09/1922
Bertine,Castagneri,14/07/1971
Ike,Calderonello,22/06/1944
Stevie,Bonafant,27/09/1939
Ellis,Booty,22/08/1945
Tobi,Di Bartolomeo,05/01/1909
Karalynn,Saltmarshe,12/01/2014
Brigida,Risbie,23/05/1971
Georgette,Brettel,21/07/1914
Orly,Willcock,04/10/1906
Stanislaus,Duxfield,13/07/1932
Isiahi,Lisciandri,04/02/1991
Weston,Windibank,09/02/1967
Aline,McIlvoray,15/07/1912
Sadie,Piller,27/06/1944
Mariel,Mulford,03/10/1921
Rosamund,Narramor,21/09/2016
Odille,Dederich,07/03/1938
Theodosia,Cockerton,11/03/1974
Franky,Vokes,14/07/2004
Ardys,McNally,04/03/1997
Evelina,Ingraham,14/07/1914
Wakefield,Spadollini,07/05/2003
Ina,Yakunchikov,10/06/1961
Conrad,Girtin,08/05/1902
Katheryn,Haskur,19/07/1907
Albrecht,Graundisson,05/02/2021
Garnette,Gooding,09/01/1982
Reynold,Baudinelli,16/11/1903
Hurley,Rambadt,15/01/1932
Blinny,Deverock,18/06/1906
Kinna,Schuster,07/02/1963
Kincaid,Wride,31/12/1925
Corny,Nurny,15/10/1953
Ceil,Geistmann,31/03/1960
Sigrid,Senner,21/10/1908
Kerrill,D'Antoni,22/06/1906
Meade,Adnett,26/02/1995
Jourdain,Barrie,24/10/1915
Constantino,Dwyer,21/06/1907
Philomena,Redan,04/03/1991
Guenna,Becarra,29/10/1937
Leone,Magwood,08/01/1925
Tab,Palmar,02/09/1958
Zara,Bohlje,17/05/1965
Valma,Ing,21/12/1920
Chip,Mattedi,17/06/1914
Dewie,Burrett,17/11/2004
Corilla,Toyne,13/10/1930
Dina,Charkham,15/03/1947
Gwendolen,Briars,21/11/1917
Sophey,Hirth,09/09/1919
Brantley,Henrionot,03/01/1923
Rica,Baggs,25/01/1995
Dore,Pimlott,07/08/1927
Grayce,Curme,27/05/1905
Connie,Delacote,31/10/1977
Natalie,Fellona,08/03/1992
Rockie,Youens,30/10/1934
Bone,Warbrick,02/04/1913
Gusella,Lehr,22/03/1951
Carly,Spracklin,13/07/1903
Hedwiga,Lillecrop,13/07/1918
Neilla,Coppledike,15/09/1978
Iolanthe,Haldene,28/09/1972
Westleigh,Spanswick,26/10/1910
Claire,Sauter,29/11/1952
Arlen,Petrov,11/03/1993
Douglas,Ivakhno,17/02/1969
Lil,Senecaut,13/06/1906
Frasquito,Babbage,03/08/1983
Eddie,Bicksteth,12/06/2011
Adrian,Cardon,27/02/1985
Eleanora,Utton,08/08/1965
Vaughan,Burkart,06/11/1937
Taylor,Durbridge,22/11/1940
Pearce,Suckling,26/09/1920
Celestyn,Lockhead,18/06/1918
Nickolaus,Rivalant,14/01/1935
Dora,Cutler,24/04/1917
Ricki,Bamblett,21/03/1985
Eileen,Robertis,05/04/1996
Curr,Youd,11/05/1978
Luther,Barling,22/02/1955
Elladine,Bogue,29/10/2003
Cori,Smeath,24/10/2004
Elinor,Freke,17/03/1939
Lyndsay,Hendren,14/11/1944
Bari,Bifield,21/02/1990
Mickie,Barstow,12/04/2012
Emalia,Ghidoli,02/05/1939
Lynnet,Gecks,18/12/1986
Salome,Jeacock,21/02/1964
Allayne,Filpi,03/10/1966
Aylmer,Poundford,13/12/1966
Shirley,Eakeley,08/04/1904
Lilly,Van Der Straaten,29/08/1978
Fletcher,Revey,20/05/1903
Gale,Dobrowolski,29/05/1987
Caresse,Balazin,05/02/1958
Nickolaus,Suscens,01/02/1943
Derk,Corker,08/02/1955
Henrietta,Beare,10/09/1904
Mariquilla,Ewert,26/03/1969
Judah,Pithie,12/11/1984
Otha,Label,10/07/2003
Eleanor,Grimestone,04/08/1952
Patrice,Oulet,14/07/1978
Jervis,Marshman,22/03/1990
Emelia,Gazzard,28/07/1998
Emylee,Swanston,26/12/1977
Alonzo,Feavearyear,22/04/1974
Bev,Dalliwater,30/04/2020
Zorana,Asaaf,12/03/1981
Lloyd,Yockney,03/06/1959
Rosy,Smead,28/01/1958
Roldan,Goering,03/10/1944
Jillana,Addlestone,27/09/1901
Vivian,Danford,24/11/1972
Lian,Lismer,29/04/1915
Dorie,Oakinfold,19/03/1984
Barris,Trassler,01/07/2010
Eunice,de Najera,11/08/1914
Marigold,Ivkovic,09/02/1999
Jayme,Hamlin,22/08/1916
Elise,Bahls,31/07/2014
Elana,Pollicatt,15/03/1939
William,Blevin,10/11/1980
Helene,Jesper,28/01/1948
Andy,Andrichuk,10/05/1921
Lila,Sydall,17/09/1963
Aldon,Jertz,19/12/1918
Andra,Sacaze,15/11/1923
Agnella,Hensmans,05/10/1921
Michaella,Ivanin,18/10/2007
Genvieve,Kolushev,06/02/1971
Franchot,Haken,12/03/1901
Leilah,Kempster,04/11/2005
Juieta,Samudio,23/01/1915
Hetty,Wanden,20/06/1963
Layton,Mintrim,14/09/1916
Nickolas,Melsome,19/02/1960
Forster,Hellens,12/01/1908
Tod,Bogaert,25/10/1957
Mureil,Bourthoumieux,16/11/1915
Chan,Corton,14/10/1932
Jemmy,Burd,02/11/2011
Gale,Drewe,06/12/1930
Homere,Skelding,22/07/1974
Lambert,Sieve,28/08/1937
Archer,Mattioli,09/05/2019
Noellyn,Trevino,04/02/1931
Giustino,Kunze,27/12/1992
Sari,Haton,23/11/1929
Fredric,Imison,22/02/1967
Caroljean,Cammiemile,17/08/1996
Lynnea,Canet,01/08/1922
Regen,Gethouse,08/09/1931
Magdaia,Hedgeley,09/02/1976
Schuyler,McKag,12/04/1965
Kelbee,Vahl,07/03/1907
Bette-ann,Musterd,27/03/2009
Lenna,Necrews,23/02/1981
Calypso,Keay,20/06/1947
Wiley,Goodbanne,11/03/1991
Charlene,Neaverson,01/08/1980
Duane,Josephov,19/11/1964
Winston,Ebunoluwa,15/02/1975
Koral,Whitloe,16/08/1962
Samaria,Mallon,30/03/1943
Linnet,Boylund,06/11/1924
Walliw,Winkell,06/01/2011
Inez,Brisbane,07/06/2003
Herman,Ramsdell,04/07/1918
Coralie,Ricket,24/05/1935
Mar,Luscombe,25/11/2010
Earle,Jordin,27/01/1902
Reba,Beloe,14/11/1969
Hali,Beastall,03/05/1975
Renault,Canning,03/03/2010
Jobyna,Wooldridge,01/11/2010
Margo,Laurentin,22/01/1966
Rustie,Aspinal,18/09/1958
Ber,Demaid,05/08/1958
Gayler,Tawse,07/05/1984
Ulrica,Madgwick,23/03/1939
Marillin,Richfield,15/01/1979
Putnem,Mollnar,02/09/1965
Sioux,Martignoni,05/08/1937
Zola,Bennough,11/06/1978
Frederique,Badwick,22/07/1960
Bev,Wenderott,05/10/1950
Ranna,McPhilemy,29/10/1980
Byrann,Kielty,05/09/1923
Suzanna,Breagan,07/09/1967
Dugald,Raimbauld,26/08/1943
Latisha,Wellbelove,22/01/2005
Cesar,Sinclair,28/03/1931
Gabe,Tieraney,30/09/1972
Chadd,Dunk,12/07/1923
Umberto,Hallut,18/08/1928
Jefferson,Seabright,21/05/1943
Penny,Moulsdale,19/06/2004
Blanch,Haitlie,13/09/1968
Norri,Ricioppo,02/02/1914
Karola,Kumar,16/12/2005
Tammie,Indgs,10/07/1928
Worden,Trimming,30/05/1937
Mara,Beine,21/12/1967
Jeffie,Frankom,27/07/1949
Carmella,Loche,03/11/1900
Bethanne,Charters,18/04/1993
Davide,Osgarby,10/02/1920
Opaline,Mayfield,24/09/1938
Killie,Grimmett,02/04/2017
Melantha,Vasyatkin,21/12/1906
Katherina,Frederick,15/03/1901
Licha,McDunlevy,19/05/1988
Frederique,Mearing,25/01/1993
Sheeree,Dufoure,06/12/1991
Sancho,Bentke,17/11/1960
Cort,Hargrave,06/04/1914
Jamal,Bollis,12/03/1989
Merola,Joutapavicius,24/05/1979
Maryrose,Dench,05/06/1981
Robbi,Burchess,26/12/1917
Babette,Bonnefin,03/07/1975
Northrup,Regina,24/03/1980
Ana,Goudge,22/09/1990
Emerson,Siggers,09/12/1981
Birgitta,Docharty,24/03/2001
Mateo,Eliff,05/10/1964
Nonnah,Antcliff,13/09/1919
Rebbecca,Cuttin,14/07/1939
Prudy,Cheers,20/07/1959
Damian,Tamburo,21/08/1969
Pate,Goosey,18/01/1948
Eward,Dedman,30/07/1959
Blinnie,Walthall,29/04/1945
Rosemarie,Nipper,25/01/1938
Whitaker,Haddon,17/01/1965
Anderson,Smoughton,04/05/2002
Dorelle,Mallen,31/12/2005
Buffy,Croal,24/03/1963
Celesta,Pautot,14/04/2019
Curry,Pauler,15/08/1912
Ag,Andrin,12/11/1947
Petrina,Giffard,30/03/1918
Georgie,Brevetor,02/10/1944
Justin,Thorsby,20/07/1958
Flem,Denyukhin,26/10/1918
Wilow,Essam,14/07/1933
Ella,Cello,13/09/1974
Freddie,Glazyer,30/05/1922
Ban,Spicer,22/01/1976
Skippie,Feasey,09/07/1989
Arleyne,Kelloch,28/12/1986
Quintana,Leahair,20/01/2009
Lolita,Edwins,23/06/1918
Sansone,Dillinger,19/01/1905
Elnar,Benian,28/09/1995
Constance,Tremolieres,06/02/1954
Mortie,Ninnis,28/07/1945
Judah,Sallier,13/11/1992
Meggy,O' Bee,04/02/1940
Hortense,Jewitt,08/12/1989
Brett,Alty,28/03/2002
Vonni,Seely,07/05/1903
Gregor,MacInnes,09/10/1953
Barbe,Clapperton,09/03/2007
Dani,Joderli,09/07/2012
Donielle,Giffon,03/08/1920
Rurik,Sellek,16/11/1968
Claudine,Bene,05/03/1978
Hildegaard,Gait,07/06/1930
Feliks,Attard,17/06/1994
Emlynne,Dewane,25/10/1964
Angelika,Stead,17/02/1996
Cecily,Redhole,27/09/1993
Henryetta,Britch,09/09/2019
Ashla,Colleford,08/06/1952
Bordie,Conan,01/02/1979
Dorotea,Ower,03/04/1987
Emelina,Gelletly,22/12/1927
Rollins,Cicchelli,21/04/1967
Aleksandr,Soames,24/10/1971
Levy,Stroder,19/11/1929
Yasmin,Itscovitz,01/08/1978
Britt,Swadlen,20/01/1940
Durand,Davies,03/11/1989
Theodor,Yerrell,31/12/1939
Yardley,Railton,10/07/1957
Marguerite,Grabham,20/06/1981
Inna,Durban,20/02/1925
Laurens,Berr,29/07/2000
Elita,Grover,13/09/2005
Seka,Woodage,12/01/1990
Dexter,Tuffs,14/09/1956
Tome,Gipson,29/12/2007
Quent,Lishman,24/08/2004
Irvin,Spandley,18/11/1936
Murial,Mansuer,22/02/1903
Domeniga,Clapp,05/12/1924
Lila,Bracknall,24/01/1926
Homer,Fetteplace,14/12/1967
Eulalie,Redpath,04/11/1935
